Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-05-04","Jameson Taillon","CHC",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11674
"2024-05-04","Ben Lively","CLE",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14932
"2024-05-04","Jake Irvin","WSN",1,9,0,3,1,0,4,0,0,1,0,0,1,0.375,0.444444444,0.5,0.4132307238048977,21504
"2024-05-04","Logan Gilbert","SEA",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,22250
"2024-05-05","Nick Lodolo","CIN",1,6,27,3,1,0,3,3,1,0,0,0,2,0.5,0.5,1.166666666,0.7006142238775889,26378
"2024-05-05","Ryan Pepiot","TBR",1,5,18,1,0,0,2,2,1,1,0,0,0,0.25,0.4,1,0.5501052856445312,26221
"2024-05-05","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19350
"2024-05-06","Mitch Keller","PIT",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17594
"2024-05-07","Randy Vasquez","SDP",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,24719
"2024-05-07","Colin Rea","MIL",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,12317
"2024-05-07","Miles Mikolas","STL",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,9803
"2024-05-07","Zac Gallen","ARI",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17268210649490356,19291
"2024-05-08","Brady Singer","KCR",1,6,9,2,2,0,1,1,0,1,0,0,1,0.4,0.5,0.8,0.5349302689234415,25377
"2024-05-08","Chris Paddack","MIN",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,20099
"2024-05-08","Carlos Rodon","NYY",1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1,0.5149495005607605,16137
"2024-05-08","Chris Sale","ATL",1,5,0,1,1,0,0,0,0,1,0,0,2,0.25,0.4,0.5,0.3900310039520264,10603
"2024-05-09","Ronel Blanco","HOU",1,4,0,1,0,0,0,0,0,1,0,0,1,0.333333333,0.5,0.333333333,0.39379729330539703,19407
"2024-05-09","Ben Lively","CLE",1,5,9,2,2,0,1,1,0,0,0,0,0,0.4,0.4,0.8,0.5037706375122071,14932
"2024-05-09","Logan Gilbert","SEA",1,9,45,5,1,0,5,5,0,1,0,0,1,0.625,0.666666666,0.75,0.6097775565253364,22250
"2024-05-10","Jose Quintana","NYM",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11423
"2024-05-10","Trevor Rogers","MIA",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,22286
"2024-05-10","Yusei Kikuchi","TOR",1,5,9,3,0,0,1,1,0,0,0,0,0,0.6,0.6,0.6,0.5306764483451843,20633
"2024-05-11","Jake Irvin","WSN",1,5,0,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.17689214944839476,21504
"2024-05-11","Nick Lodolo","CIN",1,7,36,3,0,0,4,4,1,1,0,0,2,0.5,0.571428571,1,0.6456354175295148,26378
"2024-05-11","Joey Estes","OAK",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26257
"2024-05-12","Brayan Bello","BOS",1,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.29482024908065796,23920
"2024-05-12","Zac Gallen","ARI",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19291
"2024-05-12","Miles Mikolas","STL",1,7,27,2,0,0,3,3,0,2,0,0,0,0.4,0.571428571,0.4,0.4500540494918823,9803
"2024-05-12","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19350
"2024-05-13","Colin Rea","MIL",1,6,18,3,0,0,2,2,1,0,0,0,0,0.5,0.5,1,0.6381199161211649,12317
"2024-05-13","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25377
"2024-05-13","Mitch Keller","PIT",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17594
"2024-05-13","Randy Vasquez","SDP",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22111518681049347,24719
"2024-05-14","Jameson Taillon","CHC",1,6,9,3,1,0,1,1,0,0,0,0,0,0.5,0.5,0.666666666,0.5047246813774109,11674
"2024-05-14","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22250
"2024-05-14","Ben Lively","CLE",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14932
"2024-05-14","Carlos Rodon","NYY",1,6,9,3,0,0,1,1,1,0,0,0,2,0.5,0.5,1,0.6381199161211649,16137
"2024-05-14","Chris Sale","ATL",1,5,0,1,0,0,0,0,0,0,0,1,3,0.25,0.4,0.25,0.32128726243972777,10603
"2024-05-14","Ronel Blanco","HOU",1,6,0,2,0,0,0,0,0,1,0,0,2,0.4,0.5,0.4,0.4099416534105937,19407
"2024-05-14","Chris Paddack","MIN",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,20099
"2024-05-15","Trevor Rogers","MIA",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,22286
"2024-05-15","Yusei Kikuchi","TOR",1,5,9,1,0,0,1,1,1,1,0,0,3,0.25,0.4,1,0.5501052856445312,20633
"2024-05-16","Jose Quintana","NYM",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423
"2024-05-16","Joey Estes","OAK",1,5,0,2,0,0,0,0,0,0,0,0,2,0.4,0.4,0.4,0.35378429889678953,26257
"2024-05-17","Jake Irvin","WSN",1,6,9,2,1,0,1,1,0,0,0,1,0,0.4,0.5,0.6,0.47764381766319275,21504
"2024-05-17","Brayan Bello","BOS",1,5,18,3,1,0,2,2,1,0,0,0,1,0.6,0.6,1.4,0.8407370686531067,23920
"2024-05-18","Miles Mikolas","STL",1,5,0,0,0,0,0,0,0,1,0,0,1,0,0.2,0,0.13814568519592285,9803
"2024-05-18","Zac Gallen","ARI",1,4,0,1,0,1,0,0,0,0,0,0,2,0.25,0.25,0.75,0.3992239832878113,19291
"2024-05-19","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25377
